Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.17,-.24,-.08,-.16,-.09,-.20,-.17,-.10,-.13,-.23,-.21,-.17,-.16,***,***,-.11,-.16,-.19
1881,-.19,-.13,.04,.06,.06,-.18,.01,-.03,-.15,-.21,-.18,-.07,-.08,-.09,-.16,.05,-.07,-.18
1882,.17,.14,.04,-.16,-.14,-.23,-.16,-.07,-.14,-.23,-.16,-.35,-.11,-.08,.08,-.09,-.15,-.18
1883,-.29,-.36,-.12,-.18,-.17,-.08,-.06,-.13,-.21,-.10,-.22,-.10,-.17,-.19,-.33,-.15,-.09,-.18
1884,-.12,-.07,-.35,-.39,-.33,-.35,-.29,-.27,-.26,-.24,-.33,-.30,-.28,-.26,-.10,-.36,-.30,-.28
1885,-.58,-.33,-.26,-.41,-.45,-.43,-.33,-.31,-.28,-.23,-.23,-.10,-.33,-.35,-.40,-.37,-.36,-.25
1886,-.43,-.50,-.42,-.27,-.23,-.34,-.17,-.30,-.23,-.27,-.27,-.24,-.31,-.30,-.34,-.31,-.27,-.26
1887,-.71,-.56,-.35,-.34,-.30,-.24,-.25,-.35,-.25,-.35,-.26,-.32,-.36,-.35,-.51,-.33,-.28,-.29
1888,-.34,-.36,-.41,-.20,-.21,-.17,-.10,-.15,-.11,.02,.03,-.04,-.17,-.19,-.34,-.27,-.14,-.02
1889,-.09,.17,.07,.10,.00,-.10,-.07,-.20,-.23,-.25,-.33,-.28,-.10,-.08,.02,.05,-.12,-.27
1890,-.41,-.44,-.40,-.29,-.39,-.24,-.27,-.39,-.36,-.24,-.43,-.31,-.35,-.35,-.38,-.36,-.30,-.34
1891,-.33,-.46,-.18,-.27,-.16,-.20,-.17,-.17,-.15,-.21,-.31,-.04,-.22,-.24,-.37,-.20,-.18,-.22
1892,-.29,-.11,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.14,-.42,-.38,-.27,-.24,-.15,-.32,-.27,-.24
1893,-.80,-.56,-.21,-.26,-.33,-.24,-.13,-.25,-.21,-.17,-.18,-.31,-.31,-.31,-.58,-.27,-.21,-.19
1894,-.52,-.28,-.22,-.44,-.30,-.40,-.23,-.23,-.27,-.22,-.25,-.20,-.30,-.31,-.37,-.32,-.29,-.25
1895,-.40,-.42,-.32,-.21,-.27,-.21,-.16,-.17,-.12,-.10,-.16,-.13,-.22,-.23,-.34,-.27,-.18,-.13
1896,-.22,-.12,-.26,-.30,-.15,-.11,-.02,-.05,-.07,.07,-.04,-.04,-.11,-.12,-.16,-.24,-.06,-.01
1897,-.14,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.13,-.18,-.21,-.11,-.09,-.11,-.05,-.07,-.13
1898,-.02,-.30,-.50,-.30,-.30,-.19,-.22,-.27,-.21,-.34,-.37,-.23,-.27,-.27,-.17,-.37,-.22,-.31
1899,-.16,-.37,-.36,-.20,-.23,-.31,-.15,-.08,-.04,-.03,.12,-.26,-.17,-.17,-.25,-.26,-.18,.02
1900,-.36,-.05,.01,-.08,-.08,-.10,-.12,-.08,-.05,.10,-.06,-.07,-.08,-.09,-.22,-.05,-.10,.00
1901,-.22,-.10,.06,-.02,-.15,-.12,-.14,-.20,-.22,-.29,-.16,-.27,-.15,-.13,-.13,-.04,-.15,-.22
1902,-.16,-.08,-.27,-.26,-.31,-.32,-.27,-.29,-.28,-.30,-.36,-.41,-.28,-.26,-.17,-.28,-.30,-.31
1903,-.23,-.05,-.23,-.40,-.39,-.42,-.34,-.45,-.49,-.46,-.41,-.50,-.36,-.36,-.23,-.34,-.40,-.45
1904,-.62,-.58,-.50,-.50,-.51,-.48,-.50,-.48,-.54,-.38,-.16,-.32,-.46,-.48,-.57,-.50,-.49,-.36
1905,-.33,-.58,-.20,-.32,-.28,-.27,-.25,-.20,-.18,-.23,-.05,-.12,-.25,-.27,-.41,-.27,-.24,-.15
1906,-.27,-.29,-.17,-.04,-.25,-.18,-.22,-.19,-.27,-.19,-.36,-.14,-.22,-.21,-.23,-.15,-.20,-.27
1907,-.42,-.50,-.27,-.36,-.45,-.41,-.34,-.33,-.33,-.22,-.46,-.46,-.38,-.35,-.35,-.36,-.36,-.34
1908,-.43,-.32,-.55,-.43,-.36,-.37,-.34,-.45,-.34,-.43,-.51,-.48,-.42,-.42,-.40,-.45,-.39,-.43
1909,-.72,-.45,-.53,-.58,-.54,-.51,-.44,-.33,-.37,-.38,-.31,-.55,-.48,-.47,-.55,-.55,-.43,-.35
1910,-.42,-.41,-.49,-.42,-.33,-.37,-.33,-.35,-.38,-.40,-.56,-.66,-.43,-.42,-.46,-.41,-.35,-.45
1911,-.61,-.57,-.60,-.53,-.51,-.50,-.41,-.43,-.40,-.26,-.21,-.21,-.44,-.47,-.61,-.55,-.45,-.29
1912,-.26,-.15,-.38,-.17,-.21,-.24,-.42,-.54,-.57,-.57,-.39,-.42,-.36,-.34,-.20,-.25,-.40,-.51
1913,-.39,-.44,-.41,-.38,-.43,-.44,-.35,-.32,-.33,-.31,-.19,-.01,-.33,-.37,-.42,-.41,-.37,-.28
1914,.05,-.09,-.23,-.29,-.20,-.24,-.22,-.15,-.16,-.02,-.15,-.03,-.14,-.14,-.02,-.24,-.21,-.11
1915,-.20,-.03,-.08,.07,-.05,-.21,-.12,-.21,-.19,-.23,-.12,-.20,-.13,-.12,-.09,-.02,-.18,-.18
1916,-.12,-.14,-.27,-.30,-.35,-.49,-.36,-.27,-.35,-.33,-.45,-.80,-.35,-.30,-.15,-.30,-.37,-.38
1917,-.56,-.62,-.63,-.54,-.54,-.43,-.24,-.22,-.22,-.43,-.33,-.67,-.45,-.46,-.66,-.57,-.30,-.33
1918,-.47,-.34,-.24,-.44,-.43,-.36,-.31,-.31,-.16,-.05,-.11,-.29,-.29,-.32,-.49,-.37,-.33,-.11
1919,-.20,-.22,-.21,-.12,-.27,-.36,-.29,-.33,-.25,-.19,-.41,-.42,-.27,-.26,-.24,-.20,-.32,-.28
1920,-.24,-.26,-.12,-.24,-.26,-.35,-.30,-.26,-.21,-.26,-.26,-.46,-.27,-.26,-.30,-.21,-.30,-.24
1921,-.04,-.17,-.22,-.29,-.29,-.26,-.14,-.26,-.18,-.02,-.14,-.17,-.18,-.21,-.22,-.27,-.22,-.11
1922,-.33,-.44,-.14,-.23,-.33,-.30,-.27,-.32,-.34,-.31,-.14,-.19,-.28,-.28,-.31,-.23,-.30,-.26
1923,-.27,-.39,-.33,-.41,-.33,-.29,-.30,-.33,-.30,-.13,-.02,-.03,-.26,-.27,-.28,-.36,-.31,-.15
1924,-.22,-.23,-.08,-.30,-.18,-.26,-.29,-.36,-.32,-.35,-.20,-.43,-.27,-.23,-.16,-.19,-.30,-.29
1925,-.37,-.39,-.27,-.25,-.29,-.33,-.26,-.20,-.19,-.17,.06,.07,-.22,-.26,-.39,-.27,-.26,-.10
1926,.21,.03,.12,-.12,-.23,-.26,-.27,-.14,-.15,-.12,-.07,-.29,-.11,-.08,.11,-.08,-.22,-.11
1927,-.27,-.17,-.38,-.30,-.26,-.27,-.19,-.24,-.13,-.01,-.05,-.33,-.22,-.21,-.24,-.31,-.23,-.06
1928,-.03,-.09,-.25,-.28,-.30,-.39,-.19,-.22,-.21,-.19,-.09,-.16,-.20,-.21,-.15,-.27,-.27,-.16
1929,-.45,-.58,-.33,-.41,-.38,-.43,-.36,-.32,-.25,-.14,-.12,-.54,-.36,-.33,-.40,-.37,-.37,-.17
1930,-.30,-.26,-.10,-.24,-.24,-.22,-.21,-.15,-.15,-.11,.18,-.05,-.15,-.20,-.37,-.19,-.19,-.03
1931,-.10,-.20,-.10,-.22,-.19,-.08,-.03,-.03,-.06,.06,-.06,-.05,-.09,-.09,-.12,-.17,-.05,-.02
1932,.16,-.16,-.18,-.05,-.17,-.29,-.24,-.22,-.10,-.09,-.27,-.26,-.16,-.14,-.02,-.13,-.25,-.15
1933,-.23,-.29,-.29,-.24,-.29,-.34,-.21,-.23,-.29,-.25,-.30,-.44,-.28,-.27,-.26,-.27,-.26,-.28
1934,-.20,-.02,-.29,-.30,-.09,-.15,-.10,-.12,-.15,-.06,.04,-.02,-.12,-.16,-.22,-.23,-.12,-.06
1935,-.33,.15,-.14,-.37,-.28,-.26,-.21,-.22,-.21,-.06,-.26,-.16,-.20,-.18,-.07,-.26,-.23,-.17
1936,-.27,-.37,-.20,-.20,-.16,-.21,-.09,-.13,-.09,-.02,.02,.00,-.14,-.16,-.27,-.19,-.15,-.03
1937,-.07,.03,-.20,-.15,-.05,-.05,-.03,.01,.09,.09,.08,-.07,-.03,-.02,-.01,-.14,-.02,.09
1938,.09,.04,.10,.07,-.09,-.17,-.09,-.06,.01,.15,.08,-.12,.00,.00,.02,.03,-.10,.08
1939,-.05,-.06,-.17,-.10,-.04,-.07,-.05,-.06,-.07,-.03,.08,.43,-.02,-.06,-.08,-.10,-.06,-.01
1940,.00,.08,.09,.18,.11,.12,.13,.07,.15,.11,.16,.32,.13,.14,.17,.13,.11,.14
1941,.18,.31,.10,.17,.17,.13,.22,.15,.02,.35,.23,.22,.19,.20,.27,.14,.17,.20
1942,.29,.02,.06,.10,.11,.05,.01,-.04,-.03,.02,.10,.12,.07,.08,.18,.09,.01,.03
1943,.00,.18,-.03,.11,.07,-.05,.09,.01,.06,.23,.20,.24,.09,.08,.10,.05,.02,.16
1944,.36,.24,.26,.20,.20,.16,.18,.18,.28,.27,.11,.04,.21,.22,.28,.22,.17,.22
1945,.10,.01,.06,.20,.06,.01,.04,.26,.21,.19,.07,-.07,.10,.10,.05,.11,.10,.16
